6
6

-1.675	-0.491	-0.844
-1.682	-0.491	-0.851
-1.689	-0.491	-0.858
-1.687	-0.484	-0.858
-1.662	-0.491	-0.824
-1.682	-0.491	-0.851

0.000	-1.000	0.400
-1.690	-0.496	-0.858
-1.000	1.000	0.400
1.000	1.000	0.400
1.000	-1.000	0.400
0.000	-1.000	0.400

0.000	-1.000	0.800
-1.000	-1.000	0.800
-1.000	1.000	0.800
1.000	1.000	0.800
1.000	-1.000	0.800
0.000	-1.000	0.800

0.000	-1.000	1.200
-1.000	-1.000	1.200
-1.000	1.000	1.200
1.000	1.000	1.200
1.000	-1.000	1.200
0.000	-1.000	1.200

0.000	-1.000	1.600
-1.000	-1.000	1.600
-1.000	1.000	1.600
1.000	1.000	1.600
1.000	-1.000	1.600
0.000	-1.000	1.600

-0.341	-0.491	2.000
-0.341	-0.491	2.000
-0.341	-0.491	2.000
-0.341	-0.491	2.000
-0.341	-0.491	2.000
-0.341	-0.491	2.000

